Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Creme,2021,Summer,19W - 18L,51.4%,3.8,7.9,385,22%,72.3%
Crisp,2021,Summer,22W - 10L,68.8%,4.7,1.9,263,13.6%,66.7%
Cryin,2021,Summer,22W - 14L,61.1%,4.2,7.8,382,20.5%,71.2%
Cube,2021,Summer,25W - 16L,61%,3.4,8,383,21.1%,57.4%
Doinb,2021,Summer,28W - 11L,71.8%,6.4,8.9,446,23.1%,72.1%
Elk,2021,Summer,23W - 16L,59%,4.9,9.4,424,23.4%,65.7%
Flandre,2021,Summer,25W - 10L,71.4%,3.3,8.2,406,21.5%,54.1%
FoFo,2021,Summer,25W - 16L,61%,6.0,8.4,395,21.9%,69.1%
Forge,2021,Summer,14W - 25L,35.9%,3.3,8.1,384,22.5%,71%
GALA,2021,Summer,25W - 14L,64.1%,4.6,9.5,437,23.4%,61.9%
Garvey,2021,Summer,7W - 10L,41.2%,2.6,7.8,382,21.7%,62%
H4cker,2021,Summer,13W - 26L,33.3%,2.7,6,343,19.8%,69.4%
Hang,2021,Summer,25W - 16L,61%,3.6,1.4,240,13.3%,66.8%
Hans SamD,2021,Summer,8W - 28L,22.2%,2.5,9.3,405,24.1%,61.1%
Iwandy,2021,Summer,22W - 16L,57.9%,3.8,1.2,237,13.2%,70.4%
JackeyLove,2021,Summer,23W - 15L,60.5%,3.7,8.9,434,23.1%,63.2%
Jiejie,2021,Summer,25W - 8L,75.8%,6.4,5.9,369,19.3%,72.7%
JingYi,2021,Summer,2W - 0L,100%,4.0,8.1,408,21.5%,52%
JugGod,2021,Summer,0W - 3L,0%,1.4,5.3,311,19.4%,62.7%
JunJia,2021,Summer,0W - 1L,0%,1.0,5.6,317,20.6%,66.7%
Kanavi,2021,Summer,17W - 20L,45.9%,3.2,6.5,375,20.7%,72.8%
Karsa,2021,Summer,23W - 15L,60.5%,3.6,6.3,359,19.1%,65.8%
Kedaya,2021,Summer,3W - 3L,50%,2.9,1.1,226,12.7%,58.9%
Kepler,2021,Summer,3W - 32L,8.6%,1.8,9.2,385,24.2%,55.3%
Knight,2021,Summer,23W - 15L,60.5%,6.3,9,446,23.8%,68.5%
Kramer,2021,Summer,17W - 20L,45.9%,3.4,9.2,414,23.5%,59.5%
LP,2021,Summer,3W - 3L,50%,3.4,8.8,419,23.8%,59.9%
Langx,2021,Summer,6W - 20L,23.1%,1.7,7.7,355,21.4%,59.3%
Leaky,2021,Summer,3W - 12L,20%,1.2,7.1,327,20.1%,50.9%
Leyan,2021,Summer,25W - 16L,61%,3.0,6.6,361,19.9%,71.8%
Light,2021,Summer,22W - 16L,57.9%,6.8,9.4,422,23.5%,65%
LokeN,2021,Summer,15W - 17L,46.9%,4.1,9.2,423,23.5%,64%
Lpc,2021,Summer,2W - 3L,40%,4.1,8.7,431,23.7%,70.9%
LvMao,2021,Summer,17W - 20L,45.9%,2.3,1.2,231,12.8%,64.9%
Lwx,2021,Summer,28W - 11L,71.8%,4.1,7.9,414,21.5%,63.7%
M1kuya,2021,Summer,0W - 1L,0%,0.8,7.4,317,20.4%,66.7%
Mark,2021,Summer,17W - 20L,45.9%,3.1,1.3,235,13.3%,68.4%
Ming,2021,Summer,25W - 14L,64.1%,3.7,1.2,247,13.2%,67.7%
Missing,2021,Summer,23W - 16L,59%,3.2,1.1,239,13.2%,68.5%
Mole,2021,Summer,7W - 7L,50%,2.5,6.7,341,19.3%,62.5%
New,2021,Summer,19W - 18L,51.4%,3.1,7.6,368,21%,61.3%
Nuguri,2021,Summer,25W - 11L,69.4%,2.8,8.6,424,22.1%,53.6%
ON,2021,Summer,24W - 17L,58.5%,3.4,1.4,239,13.1%,69.1%
Patch,2021,Summer,1W - 10L,9.1%,1.1,1,215,13.2%,52.8%
Ppgod,2021,Summer,24W - 17L,58.5%,2.8,1.3,237,12.9%,63.5%
Puff,2021,Summer,2W - 2L,50%,2.3,9.2,409,24%,66.9%
Qingtian,2021,Summer,16W - 12L,57.1%,2.7,7.8,389,21%,55.3%
Qiuqiu,2021,Summer,14W - 22L,38.9%,2.1,1.4,227,13.2%,65.3%
RooKie,2021,Summer,15W - 22L,40.5%,3.2,7.7,376,21.2%,64.8%
Scout,2021,Summer,25W - 10L,71.4%,5.2,8.5,417,22.1%,71.1%
Shad0w,2021,Summer,17W - 20L,45.9%,3.2,5.8,335,19%,70.2%
Shanks,2021,Summer,16W - 11L,59.3%,4.4,7.8,388,21.4%,66.4%
Shenyi,2021,Summer,4W - 1L,80%,5.0,1.2,241,12.4%,67.7%
ShiauC,2021,Summer,13W - 26L,33.3%,2.0,1.3,233,13.4%,64.8%
SmLz,2021,Summer,13W - 26L,33.3%,2.9,9,412,23.7%,60.4%
SofM,2021,Summer,24W - 18L,57.1%,4.1,6,345,19%,71.3%
Stay,2021,Summer,0W - 1L,0%,2.7,6.4,307,21.3%,80%
Tarzan,2021,Summer,25W - 19L,56.8%,4.5,6.2,348,19.4%,69.9%
TheShy,2021,Summer,7W - 11L,38.9%,1.7,8.2,398,22.4%,49.6%
Tian,2021,Summer,28W - 11L,71.8%,3.8,6.2,370,19.2%,65.9%
View,2021,Summer,0W - 1L,0%,1.0,5,286,19.1%,75%
Viper,2021,Summer,25W - 10L,71.4%,6.2,9.1,444,23.6%,59.4%
Wei,2021,Summer,25W - 14L,64.1%,4.3,5.7,363,19.3%,70.2%
WeiWei,2021,Summer,24W - 17L,58.5%,3.4,5.9,357,19.5%,70.4%
Wink,2021,Summer,13W - 20L,39.4%,2.7,9.1,419,23.5%,59%
XUN,2021,Summer,15W - 22L,40.5%,3.0,5.9,362,20.4%,73.9%
Xiaohao,2021,Summer,11W - 13L,45.8%,3.5,5.9,348,19.7%,73.3%
Xiaolaohu,2021,Summer,3W - 0L,100%,12.0,8.7,492,25.1%,76%
Xiaopeng,2021,Summer,8W - 28L,22.2%,2.1,5.8,345,20.5%,75.4%
XinLiu,2021,Summer,13W - 20L,39.4%,3.1,1.2,233,13%,67%
Yagao,2021,Summer,17W - 20L,45.9%,3.4,8.1,388,21.5%,65.9%
YeG,2021,Summer,8W - 26L,23.5%,2.3,7.6,356,21.3%,65.3%
Yuekai,2021,Summer,3W - 0L,100%,7.4,9.4,450,21.9%,66.9%
ZWuJi,2021,Summer,1W - 8L,11.1%,1.6,8,353,22.3%,41.6%
ZYF,2021,Summer,2W - 17L,10.5%,1.4,1.1,206,12.9%,64.1%
Zdz,2021,Summer,11W - 13L,45.8%,3.2,8.2,393,22.4%,65.9%
Zeka,2021,Summer,24W - 17L,58.5%,4.8,8.1,408,22.3%,70.5%
Zhuo,2021,Summer,19W - 10L,65.5%,5.1,1.5,251,13.3%,66.1%
Zoom,2021,Summer,17W - 20L,45.9%,2.5,8.3,388,21.5%,57.8%
beishang,2021,Summer,23W - 17L,57.5%,4.6,5.9,360,19.9%,73.6%
cold,2021,Summer,19W - 18L,51.4%,2.6,1.3,231,13.3%,70.9%
fearness,2021,Summer,10W - 10L,50%,2.8,7.9,390,22.1%,63.5%
heal,2021,Summer,1W - 15L,6.3%,1.8,1.1,205,13%,66.6%
huanfeng,2021,Summer,24W - 18L,57.1%,7.3,9.6,433,23.9%,65.3%
iBOY,2021,Summer,25W - 16L,61%,4.1,9.4,431,23.7%,62.4%
icecoKe,2021,Summer,3W - 12L,20%,2.4,6,328,20.1%,82.1%
icon,2021,Summer,25W - 19L,56.8%,3.9,8.1,386,21.6%,62.6%
invincible,2021,Summer,1W - 12L,7.7%,1.3,7.6,337,21.3%,59.4%
irma,2021,Summer,2W - 3L,40%,2.9,7.8,351,20.7%,75.5%
kaixuan,2021,Summer,0W - 3L,0%,1.5,0.8,220,14.7%,66.7%
meiko,2021,Summer,25W - 10L,71.4%,4.6,1.5,257,13.5%,68.8%
neny,2021,Summer,8W - 11L,42.1%,3.3,7.4,378,21.2%,69.8%
pzx,2021,Summer,3W - 29L,9.4%,1.9,6.1,327,20.6%,81%
ubao,2021,Summer,3W - 32L,8.6%,2.0,7.5,334,21%,71.9%
xiao7,2021,Summer,2W - 8L,20%,1.5,6.8,343,20%,58.1%
xiaocaobao,2021,Summer,11W - 23L,32.4%,2.4,8.8,389,22.4%,64.1%
xiaohu,2021,Summer,25W - 14L,64.1%,3.4,8.8,441,23.5%,65.3%
xiye,2021,Summer,17W - 20L,45.9%,3.5,7.9,393,22.3%,67.8%
yaoyao,2021,Summer,7W - 18L,28%,2.0,1.2,223,13.2%,60.5%
yuyanjia,2021,Summer,4W - 5L,44.4%,3.5,1.1,235,12.8%,70%
zs,2021,Summer,13W - 26L,33.3%,2.2,7.6,364,21%,53.2%
369,2021,Spring,25W - 10L,71.4%,3.9,8.1,407,21.1%,58.4%
AKi,2021,Spring,11W - 28L,28.2%,2.7,6.1,328,19.5%,72.9%
Aiming,2021,Spring,16W - 22L,42.1%,3.0,9.5,430,24.3%,63.5%
Aix,2021,Spring,2W - 2L,50%,2.5,6.7,345,19.8%,66.4%
Ale,2021,Spring,2W - 5L,28.6%,2.2,8,367,21.3%,68.3%
Alielie,2021,Spring,0W - 6L,0%,0.6,7.8,348,22.4%,72.8%
Angel,2021,Spring,21W - 12L,63.6%,6.8,8.7,397,21.3%,66.8%
Aodi,2021,Spring,3W - 3L,50%,3.2,7,357,19.3%,70.6%
Baolan,2021,Spring,7W - 6L,53.8%,2.8,1.2,241,13.1%,67.6%
Beichuan,2021,Spring,7W - 7L,50%,4.2,6.8,383,20%,73.9%
Betty,2021,Spring,1W - 16L,5.9%,2.3,9.2,389,24.1%,68%
Bin,2021,Spring,21W - 12L,63.6%,4.6,8.1,406,21.9%,59.9%
Biubiu,2021,Spring,16W - 22L,42.1%,1.8,7.6,365,20.8%,63.2%
Bless,2021,Spring,1W - 6L,14.3%,1.1,6.2,305,19%,56.9%
Bo,2021,Spring,10W - 0L,100%,5.4,7.6,457,22.1%,68.5%
Breathe,2021,Spring,22W - 14L,61.1%,4.7,8.1,400,21.5%,61.9%
Bright,2021,Spring,0W - 2L,0%,3.2,6.6,326,19.3%,58.3%
Captain,2021,Spring,1W - 4L,20%,1.1,8.2,358,22%,58.8%
Chance,2021,Spring,9W - 16L,36%,2.1,1.2,230,13.4%,65%
Chelizi,2021,Spring,12W - 26L,31.6%,2.3,7.8,368,21.2%,61.1%
Crisp,2021,Spring,24W - 11L,68.6%,3.7,1.1,251,12.8%,68%
