Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Biofrost,2022,Summer,3W - 15L,16.7%,3.1,1.5,229,13.6%,71.3%
Bjergsen,2022,Summer,12W - 6L,66.7%,8.7,9.2,425,22.7%,66.9%
Blaber,2022,Summer,11W - 8L,57.9%,3.4,6.4,354,19.1%,70.5%
Blue,2022,Summer,3W - 15L,16.7%,2.7,9.3,396,23.6%,68.3%
Bwipo,2022,Summer,12W - 6L,66.7%,3.0,9,445,23.7%,59%
Chime,2022,Summer,4W - 7L,36.4%,3.5,1,229,13.3%,79.5%
Closer,2022,Summer,14W - 4L,77.8%,5.0,5.2,326,17.6%,66.9%
Contractz,2022,Summer,11W - 7L,61.1%,3.3,5.6,335,18.6%,72.4%
CoreJJ,2022,Summer,12W - 6L,66.7%,4.7,0.9,241,12.9%,76.1%
Danny,2022,Summer,15W - 3L,83.3%,7.5,9.4,454,24.2%,70%
Destiny,2022,Summer,0W - 3L,0%,1.3,2.2,230,14%,73.7%
Dhokla,2022,Summer,11W - 7L,61.1%,2.3,8.8,411,22.6%,49.6%
FBI,2022,Summer,14W - 4L,77.8%,6.9,8.4,438,23.6%,75.9%
Fudge,2022,Summer,11W - 8L,57.9%,3.8,8.7,419,22.7%,61.5%
Gamsu,2022,Summer,2W - 9L,18.2%,1.9,8.1,372,22.1%,59.8%
Hans sama,2022,Summer,12W - 6L,66.7%,4.8,9.4,434,23.2%,66.1%
Hoon,2022,Summer,1W - 6L,14.3%,1.4,8,346,20.8%,56%
Huhi,2022,Summer,14W - 4L,77.8%,7.3,1.9,255,13.9%,73.7%
Huni,2022,Summer,2W - 5L,28.6%,1.8,8.5,385,22.3%,55.1%
IgNar,2022,Summer,4W - 14L,22.2%,2.0,1,210,12.8%,69.4%
Impact,2022,Summer,15W - 3L,83.3%,3.3,7.6,410,21.7%,64.1%
Inspired,2022,Summer,15W - 3L,83.3%,7.4,6,360,19.2%,66.7%
Instinct,2022,Summer,4W - 7L,36.4%,3.5,9.4,416,24%,68.1%
Jensen,2022,Summer,11W - 8L,57.9%,4.5,8.8,414,22.4%,67.5%
Johnsun,2022,Summer,10W - 9L,52.6%,3.4,9.4,439,24.8%,69.8%
Josedeodo,2022,Summer,10W - 9L,52.6%,3.3,5.6,318,18%,68%
Kenvi,2022,Summer,4W - 14L,22.2%,1.6,5.4,306,18.6%,77.1%
Licorice,2022,Summer,5W - 13L,27.8%,1.8,7.9,372,21.7%,56.1%
Lider,2022,Summer,0W - 2L,0%,1.3,8.6,366,22.6%,50.8%
Lost,2022,Summer,4W - 14L,22.2%,1.9,8.5,382,23.2%,68.7%
Luger,2022,Summer,11W - 7L,61.1%,4.0,8.1,415,22.8%,69.5%
Maple,2022,Summer,6W - 12L,33.3%,2.8,8.9,392,22.7%,66.6%
Mia,2022,Summer,2W - 5L,28.6%,1.5,0.7,221,12.7%,62.8%
Neo,2022,Summer,2W - 7L,22.2%,2.8,7.6,363,21.5%,61.7%
Olleh,2022,Summer,5W - 11L,31.3%,2.9,1.9,247,14.3%,77.1%
Palafox,2022,Summer,11W - 7L,61.1%,3.3,8.2,400,22.1%,61.6%
Philip,2022,Summer,10W - 9L,52.6%,2.2,8.1,378,21.4%,64.6%
Poome,2022,Summer,11W - 7L,61.1%,3.0,1.4,249,13.8%,71.9%
PowerOfEvil,2022,Summer,4W - 14L,22.2%,2.7,8.9,380,23.1%,61.3%
Pridestalkr,2022,Summer,4W - 7L,36.4%,2.1,6,328,18.7%,58.5%
Prismal,2022,Summer,0W - 2L,0%,1.9,0.5,213,13.2%,74.6%
Revenge,2022,Summer,4W - 14L,22.2%,1.4,8.2,370,22.4%,64.5%
River,2022,Summer,3W - 15L,16.7%,1.8,5.2,304,18.3%,73.7%
S0ul,2022,Summer,1W - 3L,25%,1.6,8.5,368,22.2%,40.2%
Santorin,2022,Summer,12W - 6L,66.7%,5.4,5.1,330,17.5%,69%
Spawn,2022,Summer,1W - 8L,11.1%,2.9,9.6,420,25.4%,61.1%
Spica,2022,Summer,6W - 12L,33.3%,2.9,5.8,335,19.4%,77.9%
Stixxay,2022,Summer,5W - 13L,27.8%,2.8,7.9,396,23.2%,69.7%
Tactical,2022,Summer,2W - 5L,28.6%,1.7,8.9,383,22.2%,48.6%
Toucouille,2022,Summer,10W - 9L,52.6%,5.2,8.9,403,22.8%,62.5%
Vulcan,2022,Summer,15W - 3L,83.3%,8.7,1.1,244,13%,79.2%
Zven,2022,Summer,11W - 5L,68.8%,4.5,0.9,245,13%,71%
eXyu,2022,Summer,1W - 6L,14.3%,1.6,4.9,286,17.1%,63%
jojopyun,2022,Summer,15W - 3L,83.3%,4.7,8.6,409,21.9%,66.6%
k1ng,2022,Summer,0W - 3L,0%,1.4,6.6,325,20.1%,76.8%
solo,2022,Summer,3W - 4L,42.9%,2.7,8,357,20.4%,55.7%
ssumday,2022,Summer,14W - 4L,77.8%,5.2,8.7,410,22.2%,67.4%
Abbedagge,2022,Spring,12W - 6L,66.7%,4.0,8.5,418,22.3%,64.8%
Ablazeolive,2022,Spring,9W - 10L,47.4%,2.7,8.4,389,21.9%,63.6%
Aphromoo,2022,Spring,10W - 10L,50%,2.3,1.2,224,12.9%,66.5%
Arrow,2022,Spring,2W - 8L,20%,2.7,8.3,380,22.6%,54.6%
Berserker,2022,Spring,13W - 5L,72.2%,5.8,9.7,433,22.7%,59.2%
Biofrost,2022,Spring,8W - 10L,44.4%,3.8,0.9,231,13%,74.7%
Bjergsen,2022,Spring,14W - 4L,77.8%,8.9,9,418,21.9%,68.9%
Blaber,2022,Spring,13W - 5L,72.2%,4.2,7.1,383,20.1%,71.8%
Blue,2022,Spring,8W - 10L,44.4%,3.7,9.5,419,23.8%,68.9%
Breezy,2022,Spring,0W - 1L,0%,0.8,1.7,208,13%,50%
Bwipo,2022,Spring,14W - 4L,77.8%,3.4,9.4,441,23.1%,56.4%
Chad,2022,Spring,0W - 1L,0%,0.8,4.1,250,16.6%,83.3%
Closer,2022,Spring,12W - 6L,66.7%,5.5,5.6,349,18.6%,71.1%
Contractz,2022,Spring,6W - 11L,35.3%,1.7,5.5,319,18.6%,67.1%
CoreJJ,2022,Spring,9W - 2L,81.8%,6.0,1.2,245,12.8%,76.2%
