Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Alphari,2022,Summer,9W - 10L,47.4%,3.5,8.4,393,21.9%,46.1%
Armut,2022,Summer,12W - 6L,66.7%,3.6,8.1,405,22%,56.9%
Brokenblade,2022,Summer,12W - 6L,66.7%,4.9,8.4,426,22.7%,62.3%
Caps,2022,Summer,12W - 6L,66.7%,3.6,8.5,414,22.1%,71.2%
Carzzy,2022,Summer,9W - 10L,47.4%,3.2,7.9,403,22.6%,67.5%
Cinkrof,2022,Summer,3W - 15L,16.7%,1.9,5.1,290,18%,67.9%
Comp,2022,Summer,11W - 7L,61.1%,5.5,9.4,457,25%,75.1%
Dajor,2022,Summer,7W - 11L,38.9%,3.1,8.7,397,22.6%,71.9%
Elyoya,2022,Summer,12W - 6L,66.7%,4.6,5.5,339,18.3%,72.3%
Erdote,2022,Summer,1W - 10L,9.1%,2.9,1.3,221,13.9%,82.2%
Execute,2022,Summer,7W - 11L,38.9%,2.8,0.9,230,13.1%,74.9%
Finn,2022,Summer,10W - 9L,52.6%,2.7,8.1,391,21.8%,54.3%
Flakked,2022,Summer,12W - 6L,66.7%,6.0,9,438,23.4%,63.8%
Gadget,2022,Summer,0W - 2L,0%,1.4,6.5,320,19.7%,52.8%
Gilius,2022,Summer,7W - 11L,38.9%,1.7,4.8,296,17.4%,62.7%
Haru,2022,Summer,9W - 10L,47.4%,3.9,5.2,333,18.6%,68%
Humanoid,2022,Summer,10W - 9L,52.6%,3.1,9.1,421,23.4%,60.1%
Hylissang,2022,Summer,10W - 9L,52.6%,2.4,1,232,12.9%,65.7%
Irrelevant,2022,Summer,11W - 8L,57.9%,3.3,7.3,374,20.9%,64.2%
JNX,2022,Summer,7W - 11L,38.9%,2.6,8.6,392,23%,62.6%
Jankos,2022,Summer,12W - 6L,66.7%,4.2,5.2,346,18.4%,74.8%
Jezu,2022,Summer,7W - 9L,43.8%,3.9,9.2,418,24.4%,64.6%
Kaiser,2022,Summer,12W - 6L,66.7%,5.6,0.9,237,12.9%,75.5%
Kobbe,2022,Summer,7W - 11L,38.9%,4.3,9.4,433,24.7%,74.1%
Labrov,2022,Summer,9W - 10L,47.4%,3.3,1.7,248,13.8%,74.8%
Larssen,2022,Summer,11W - 7L,61.1%,6.0,9.1,430,23.5%,73.2%
Limit,2022,Summer,2W - 5L,28.6%,2.2,1.1,220,13.2%,70.4%
Malrang,2022,Summer,11W - 7L,61.1%,3.5,4.5,303,16.6%,75.5%
Markoon,2022,Summer,10W - 9L,52.6%,4.0,5,331,18.4%,71.6%
Mersa,2022,Summer,11W - 8L,57.9%,3.5,1.3,236,13.1%,77.2%
Mikyx,2022,Summer,10W - 9L,52.6%,2.3,0.9,230,12.8%,65.5%
Neon,2022,Summer,11W - 8L,57.9%,5.1,8.5,431,23.8%,69%
Nisqy,2022,Summer,12W - 6L,66.7%,4.3,8.3,397,21.6%,74.6%
Nukeduck,2022,Summer,10W - 9L,52.6%,4.5,8.4,399,22.3%,66.4%
Odoamne,2022,Summer,11W - 7L,61.1%,3.4,8.2,400,21.7%,58.6%
Patrik,2022,Summer,10W - 9L,52.6%,4.1,9.1,440,24.7%,62.8%
Perkz,2022,Summer,9W - 10L,47.4%,3.2,9,413,23.1%,64.9%
Razork,2022,Summer,10W - 9L,52.6%,2.5,5,321,17.9%,69.7%
Sertuss,2022,Summer,7W - 11L,38.9%,3.0,8.6,383,22.5%,73.6%
Shlatan,2022,Summer,5W - 6L,45.5%,2.4,5.5,328,18.9%,63.5%
Targamas,2022,Summer,12W - 6L,66.7%,7.2,1.3,251,13.3%,75.1%
Treatz,2022,Summer,7W - 11L,38.9%,2.9,0.8,226,13.3%,74.2%
Trymbi,2022,Summer,11W - 7L,61.1%,3.3,1.4,244,13.3%,75.6%
UNF0RGIVEN,2022,Summer,12W - 6L,66.7%,5.1,9.5,466,25.2%,61.6%
Upset,2022,Summer,10W - 9L,52.6%,5.7,9.7,442,24.5%,65.8%
Vetheo,2022,Summer,11W - 8L,57.9%,4.3,9.6,435,24.2%,66.4%
Vizicsacsi,2022,Summer,7W - 11L,38.9%,2.5,7.5,366,20.8%,60.5%
Wunder,2022,Summer,10W - 9L,52.6%,2.5,7.9,381,21.2%,58.5%
Xerxe,2022,Summer,7W - 11L,38.9%,4.4,5.5,330,18.8%,76.4%
Zanzarah,2022,Summer,6W - 2L,75%,3.5,4.7,313,16.7%,61.1%
nuc,2022,Summer,3W - 15L,16.7%,2.7,8.3,371,22.9%,70.6%
xmatty,2022,Summer,3W - 15L,16.7%,2.2,8.4,384,23.8%,65.7%
Adam,2022,Spring,4W - 14L,22.2%,1.7,8.6,391,22.8%,50.3%
Advienne,2022,Spring,2W - 3L,40%,3.1,0.9,218,12.6%,80.7%
Alphari,2022,Spring,9W - 9L,50%,3.0,8.7,414,22.5%,53.8%
Armut,2022,Spring,8W - 10L,44.4%,2.5,8.3,388,21.7%,50%
Brokenblade,2022,Spring,11W - 7L,61.1%,3.4,8.5,414,22.6%,59.7%
Caps,2022,Spring,11W - 7L,61.1%,3.5,8.4,410,22.4%,68.5%
Carzzy,2022,Spring,9W - 9L,50%,3.2,9.2,424,23.1%,56.7%
