Year,Split,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
2022,Spring,G2 Esports,S12,EUW,18,61.1%,1.12,1824,32,32:39,13.8,12.3,7.2,5.8,55.6,50.0,2.39,51.3,1.28,63.9,0.72,0.3,384,5.43,0.83,51.9,32.9,1810,3.3,1.24,1.61
2022,Spring,MAD Lions,S12,EUW,18,44.4%,0.96,1794,-29,34:12,13.9,14.6,6.4,6.7,55.6,50.0,2.33,49.5,1.17,58.3,0.56,-0.2,318,5.13,0.72,37.0,32.8,1828,3.2,1.38,1.48
2022,Spring,Misfits Gaming,S12,EUW,18,66.7%,1.00,1881,84,33:51,15.9,15.9,8.1,5.4,38.9,50.0,2.44,51.7,1.17,58.3,0.78,0.0,-526,5.06,1.22,63.0,32.8,2116,3.3,1.34,1.48
2022,Spring,Rogue,S12,EUW,18,77.8%,1.61,1922,229,30:36,15.6,9.7,8.1,4.1,66.7,77.8,2.28,59.0,1.00,50.0,0.78,0.4,1524,6.07,1.00,79.4,33.2,2141,3.2,1.21,1.38
2022,Spring,SK Gaming,S12,EUW,18,38.9%,0.89,1718,-154,33:36,11.7,13.1,4.5,7.9,44.4,27.8,2.28,46.5,1.00,50.0,0.83,-0.4,-1615,3.75,0.50,33.3,32.5,1756,3.4,1.33,1.35
2022,Spring,Team BDS,S12,EUW,18,22.2%,0.72,1713,-180,33:57,11.7,16.1,4.2,8.4,61.1,44.4,2.17,45.4,0.83,41.7,0.83,-0.2,-485,4.35,0.44,29.6,32.1,1775,3.4,1.44,1.35
2022,Spring,Team Vitality,S12,EUW,18,50.0%,0.90,1837,41,33:01,12.7,14.1,6.6,6.3,33.3,38.9,1.94,43.8,0.89,44.4,0.89,-0.1,33,4.87,0.56,50.0,34.1,2004,3.1,1.16,1.39
2021,Summer,Astralis,S11,EUW,18,38.9%,0.78,1702,-146,32:39,11.9,15.0,4.8,7.7,33.3,22.2,1.89,39.2,0.78,38.9,0.78,-0.6,-2045,-,0.67,42.6,31.1,1893,3.4,1.39,1.22
2021,Summer,Excel Esports,S11,EUW,18,38.9%,0.91,1721,-61,32:35,11.4,12.4,5.5,6.6,50.0,61.1,1.33,30.6,1.22,61.1,0.17,0.0,-257,-,0.67,50.0,31.2,1769,3.2,1.21,1.28
2021,Summer,FC Schalke 04,S11,EUW,18,16.7%,0.56,1656,-257,30:43,8.8,15.8,4.3,8.8,33.3,27.8,1.28,27.6,0.83,41.7,0.56,-0.9,-1894,-,0.39,22.2,31.6,1698,3.4,1.41,1.31
2021,Summer,Fnatic,S11,EUW,18,61.1%,1.15,1886,121,31:49,17.1,14.8,7.2,4.9,55.6,77.8,2.89,63.9,1.28,63.9,1.17,0.9,1676,-,0.94,66.7,32.7,2123,3.6,1.39,1.36
2021,Summer,G2 Esports,S11,EUW,18,66.7%,1.32,1870,127,32:00,16.2,12.2,7.3,4.8,50.0,33.3,2.78,64.4,0.50,33.3,0.94,-0.5,296,-,0.72,61.8,34.3,1975,4.1,1.54,1.61
2021,Summer,MAD Lions,S11,EUW,18,66.7%,1.09,1849,102,33:28,15.4,14.2,8.1,5.1,50.0,50.0,2.33,58.9,1.06,52.8,0.83,0.4,109,-,1.11,74.1,32.1,2136,3.4,1.25,1.57
2021,Summer,Misfits Gaming,S11,EUW,18,66.7%,1.23,1821,83,33:06,14.8,11.9,6.9,4.9,61.1,55.6,2.61,54.8,1.17,58.3,0.61,0.1,64,-,0.83,57.8,32.9,1965,3.4,1.30,1.58
2021,Summer,Rogue,S11,EUW,18,72.2%,1.47,1904,209,32:13,15.5,10.6,7.7,4.5,61.1,83.3,2.39,55.2,1.28,63.9,0.89,0.9,2674,-,0.78,54.6,34.0,1961,3.3,1.01,1.40
2021,Summer,SK Gaming,S11,EUW,18,27.8%,0.71,1691,-187,31:36,10.1,14.1,4.4,7.9,50.0,50.0,2.06,46.1,0.72,36.1,1.00,-0.2,-1042,-,0.39,29.6,32.9,1797,3.2,1.18,1.45
2021,Summer,Team Vitality,S11,EUW,18,44.4%,0.98,1805,8,31:03,13.8,14.0,5.4,6.6,55.6,38.9,2.39,59.4,0.89,50.0,1.06,-0.2,418,-,0.67,41.7,33.2,1919,3.2,1.20,1.36
2021,Spring,Astralis,S11,EUW,18,33.3%,0.78,1695,-155,33:13,12.8,16.4,4.2,7.4,38.9,38.9,2.17,47.0,0.67,33.3,0.83,-0.4,-1447,-,0.44,36.1,31.1,1840,3.2,1.31,1.25
2021,Spring,Excel Esports,S11,EUW,18,38.9%,0.70,1677,-165,33:53,9.9,14.1,4.8,7.7,33.3,11.1,2.11,41.1,0.78,41.7,0.83,-0.7,-1284,-,0.50,29.4,32.1,1705,3.2,1.25,1.27
2021,Spring,FC Schalke 04,S11,EUW,18,50.0%,0.91,1771,-28,33:44,11.4,12.5,6.7,5.8,55.6,50.0,1.83,36.0,1.00,50.0,0.72,0.2,66,-,0.61,41.7,33.4,1746,3.4,1.36,1.32
2021,Spring,Fnatic,S11,EUW,18,50.0%,0.92,1834,0,29:33,15.6,17.1,5.8,5.7,50.0,61.1,2.39,57.7,0.83,47.2,1.17,0.1,361,-,0.78,54.6,32.1,2015,3.1,1.35,1.13
2021,Spring,G2 Esports,S11,EUW,18,77.8%,1.41,1915,217,34:00,17.7,12.6,8.4,3.8,38.9,61.1,3.33,71.0,1.11,58.3,0.94,0.5,1042,-,1.06,70.8,34.3,2222,3.5,1.22,1.53
2021,Spring,MAD Lions,S11,EUW,18,55.6%,1.03,1839,63,32:20,15.1,14.6,7.1,5.9,66.7,66.7,2.44,57.4,1.44,77.8,0.94,0.3,786,-,0.83,56.5,32.8,1952,3.4,1.32,1.42
2021,Spring,Misfits Gaming,S11,EUW,18,44.4%,1.02,1801,12,32:19,14.1,13.8,5.6,5.9,66.7,55.6,2.33,56.0,1.00,50.0,1.00,0.3,626,-,0.72,52.8,33.0,1994,3.1,1.18,1.26
2021,Spring,Rogue,S11,EUW,18,77.8%,1.70,1906,238,34:10,16.3,9.6,8.4,3.9,61.1,77.8,2.67,59.5,0.78,47.2,1.22,0.7,1413,-,0.83,65.3,34.8,1988,3.4,1.03,1.53
2021,Spring,SK Gaming,S11,EUW,18,44.4%,0.99,1737,-70,31:50,12.0,12.0,4.8,6.4,50.0,33.3,1.56,35.8,1.00,52.8,0.50,-0.5,-772,-,0.56,41.2,33.0,1665,2.9,1.08,1.20
2021,Spring,Team Vitality,S11,EUW,18,27.8%,0.82,1703,-112,35:25,10.3,12.7,4.7,7.8,38.9,44.4,2.06,38.5,0.78,41.7,0.61,-0.5,-790,-,1.00,50.0,32.6,1740,3.4,1.37,1.43
2020,Summer,Excel Esports,S10,EUW,18,44.4%,0.78,1736,-46,32:54,9.1,11.6,5.9,6.9,44.4,61.1,2.44,47.3,1.06,52.8,1.06,0.0,92,-,0.44,32.4,33.2,1656,3.2,1.30,1.44
2020,Summer,FC Schalke 04,S10,EUW,18,44.4%,0.98,1711,-38,34:25,11.3,11.5,5.2,6.2,50.0,33.3,2.22,41.6,0.83,44.4,0.72,-0.2,-68,-,0.39,46.7,32.7,1854,3.2,1.23,1.54
2020,Summer,Fnatic,S10,EUW,18,50.0%,0.85,1800,12,32:55,12.3,14.5,5.6,6.4,55.6,38.9,2.39,47.0,0.78,38.9,0.78,-0.3,29,-,0.61,43.8,33.2,1865,3.1,1.25,1.39
2020,Summer,G2 Esports,S10,EUW,18,61.1%,1.09,1816,77,31:44,14.1,13.0,6.9,5.1,50.0,50.0,2.33,53.7,1.17,58.3,1.00,0.2,614,-,0.50,50.0,33.0,1941,3.4,1.39,1.42
2020,Summer,MAD Lions,S10,EUW,18,66.7%,1.28,1794,90,31:26,14.2,11.1,7.3,4.6,55.6,72.2,2.83,60.0,1.06,55.6,1.22,0.1,152,-,0.72,70.0,31.1,1997,3.5,1.36,1.28
2020,Summer,Misfits Gaming,S10,EUW,18,38.9%,0.77,1717,-77,34:10,10.3,13.4,5.0,7.4,33.3,38.9,2.17,42.8,0.94,47.2,1.17,-0.5,-569,-,0.83,42.6,32.2,1766,3.1,1.24,1.26
2020,Summer,Origen,S10,EUW,18,33.3%,0.86,1679,-75,34:57,9.5,11.0,5.4,7.0,50.0,38.9,2.06,40.1,0.89,44.4,0.67,-0.1,-145,-,0.39,34.4,32.1,1777,3.7,1.30,1.39
2020,Summer,Rogue,S10,EUW,18,72.2%,1.88,1812,151,34:27,13.4,7.2,8.0,4.4,61.1,72.2,3.00,58.9,1.11,55.6,1.00,0.6,1298,-,0.83,73.3,32.5,1825,3.1,1.20,1.48
2020,Summer,SK Gaming,S10,EUW,18,50.0%,1.01,1755,-20,33:28,12.1,11.9,5.9,6.1,50.0,44.4,3.22,62.2,1.17,61.1,1.22,0.2,-566,-,0.83,51.9,32.3,1771,3.5,1.23,1.30
2020,Summer,Team Vitality,S10,EUW,18,38.9%,0.90,1708,-73,35:21,10.7,11.9,5.9,7.2,50.0,50.0,2.50,46.3,0.83,41.7,1.00,-0.1,-837,-,1.06,58.3,31.9,1656,3.8,1.59,1.44
2020,Spring,Excel Esports,S10,EUW,18,38.9%,0.70,1705,-110,33:38,10.6,15.1,5.6,7.2,38.9,61.1,1.78,35.0,1.22,61.1,0.72,0.3,-531,-,0.50,44.1,31.5,1815,3.6,1.40,1.42
2020,Spring,FC Schalke 04,S10,EUW,18,33.3%,0.98,1712,-71,36:37,12.3,12.6,4.7,7.4,50.0,38.9,2.83,52.0,0.61,30.6,0.78,-0.3,-831,-,0.56,41.1,32.4,1832,3.7,1.39,1.57
2020,Spring,Fnatic,S10,EUW,18,72.2%,1.32,1857,179,31:16,15.8,11.9,7.8,4.0,44.4,61.1,3.11,73.6,0.94,52.9,1.22,0.7,1084,-,0.78,68.6,32.5,1906,3.1,1.17,1.32
2020,Spring,G2 Esports,S10,EUW,18,83.3%,1.61,1868,216,31:30,19.7,12.2,8.4,3.8,83.3,50.0,2.83,69.8,1.00,55.6,1.00,0.3,1401,-,0.50,63.5,30.5,2325,3.5,1.21,1.42
2020,Spring,MAD Lions,S10,EUW,18,61.1%,1.10,1774,27,34:02,13.0,11.8,7.5,6.0,38.9,50.0,3.11,59.8,1.00,50.0,1.22,-0.3,-637,-,0.94,58.8,32.0,1810,3.4,1.42,1.48
2020,Spring,Misfits Gaming,S10,EUW,18,55.6%,1.00,1755,13,32:49,11.6,11.6,6.5,6.2,55.6,44.4,2.11,47.4,1.11,55.6,0.83,0.0,41,-,0.89,62.5,32.0,1606,3.2,1.21,1.35
2020,Spring,Origen,S10,EUW,18,72.2%,1.49,1766,131,35:16,12.9,8.7,8.2,4.3,44.4,44.4,2.28,48.1,1.17,61.8,0.33,0.1,594,-,1.00,79.2,31.6,1874,3.6,1.22,1.51
2020,Spring,Rogue,S10,EUW,18,50.0%,1.04,1729,30,32:59,10.9,10.6,6.4,6.2,61.1,72.2,2.06,43.9,0.94,50.0,0.89,0.4,602,-,0.50,47.2,32.0,1619,3.4,1.22,1.24
2020,Spring,SK Gaming,S10,EUW,18,22.2%,0.57,1654,-172,34:01,7.8,13.7,4.2,8.2,38.9,33.3,2.11,45.0,0.78,47.2,0.89,-0.4,-966,-,0.50,27.1,31.9,1615,3.2,1.17,1.38
2020,Spring,Team Vitality,S10,EUW,18,11.1%,0.57,1616,-243,35:27,8.9,15.6,3.4,9.5,44.4,44.4,1.39,25.4,0.67,36.1,0.56,-0.7,-757,-,0.28,9.4,31.8,1568,3.7,1.58,1.21
