Team,Year,Split,Role,Player
KT Rolster,2021,Summer,BOT,Harp
KT Rolster,2021,Summer,SUPPORT,Harp
KT Rolster,2021,Summer,SUPPORT,Noah
Liiv SANDBOX,2021,Summer,TOP,Summit
Liiv SANDBOX,2021,Summer,JUNGLE,Croco
Liiv SANDBOX,2021,Summer,MID,FATE
Liiv SANDBOX,2021,Summer,BOT,Prince
Liiv SANDBOX,2021,Summer,SUPPORT,Effort
Nongshim RedForce,2021,Summer,TOP,Rich
Nongshim RedForce,2021,Summer,JUNGLE,Peanut
Nongshim RedForce,2021,Summer,MID,Gori
Nongshim RedForce,2021,Summer,BOT,deokdam
Nongshim RedForce,2021,Summer,SUPPORT,Kellin
Nongshim RedForce,2021,Summer,BOT,Kellin
Nongshim RedForce,2021,Summer,SUPPORT,deokdam
T1,2021,Summer,TOP,Canna
T1,2021,Summer,JUNGLE,Oner
T1,2021,Summer,MID,Faker
T1,2021,Summer,BOT,Gumayusi
T1,2021,Summer,SUPPORT,Keria
T1,2021,Summer,JUNGLE,Cuzz
T1,2021,Summer,BOT,Teddy
T1,2021,Summer,BOT,Keria
T1,2021,Summer,SUPPORT,Teddy
Afreeca Freecs,2021,Spring,TOP,Kiin
Afreeca Freecs,2021,Spring,JUNGLE,Dread
Afreeca Freecs,2021,Spring,MID,Fly
Afreeca Freecs,2021,Spring,BOT,Bang
Afreeca Freecs,2021,Spring,SUPPORT,Lehends
Afreeca Freecs,2021,Spring,BOT,Lehends
Afreeca Freecs,2021,Spring,SUPPORT,Bang
Afreeca Freecs,2021,Spring,SUPPORT,MapSSi
DRX,2021,Spring,TOP,kingen
DRX,2021,Spring,JUNGLE,Pyosik
DRX,2021,Spring,MID,Quad
DRX,2021,Spring,BOT,BAO
DRX,2021,Spring,SUPPORT,Pleata
DWG KIA,2021,Spring,TOP,Khan
DWG KIA,2021,Spring,JUNGLE,Canyon
DWG KIA,2021,Spring,MID,ShowMaker
DWG KIA,2021,Spring,BOT,BeryL
DWG KIA,2021,Spring,SUPPORT,Ghost
DWG KIA,2021,Spring,BOT,Ghost
DWG KIA,2021,Spring,SUPPORT,BeryL
Fredit BRION,2021,Spring,TOP,Hoya
Fredit BRION,2021,Spring,JUNGLE,UmTi
Fredit BRION,2021,Spring,MID,Lava
Fredit BRION,2021,Spring,BOT,Hena
Fredit BRION,2021,Spring,SUPPORT,Delight
Fredit BRION,2021,Spring,JUNGLE,Chieftain
Fredit BRION,2021,Spring,MID,Chieftain
Fredit BRION,2021,Spring,MID,UmTi
Fredit BRION,2021,Spring,MID,Yaharong
Gen.G eSports,2021,Spring,TOP,Rascal
Gen.G eSports,2021,Spring,JUNGLE,Clid
Gen.G eSports,2021,Spring,MID,Bdd
Gen.G eSports,2021,Spring,BOT,Life
Gen.G eSports,2021,Spring,SUPPORT,Ruler
Gen.G eSports,2021,Spring,JUNGLE,Flawless
Gen.G eSports,2021,Spring,MID,Karis
Gen.G eSports,2021,Spring,BOT,Ruler
Gen.G eSports,2021,Spring,SUPPORT,Life
Hanwha Life eSports,2021,Spring,TOP,Morgan
Hanwha Life eSports,2021,Spring,JUNGLE,Yohan1
Hanwha Life eSports,2021,Spring,MID,Chovy
Hanwha Life eSports,2021,Spring,BOT,Deft
Hanwha Life eSports,2021,Spring,SUPPORT,Vsta
Hanwha Life eSports,2021,Spring,TOP,DuDu
Hanwha Life eSports,2021,Spring,JUNGLE,Mir
Hanwha Life eSports,2021,Spring,BOT,Vsta
Hanwha Life eSports,2021,Spring,SUPPORT,Deft
KT Rolster,2021,Spring,TOP,Doran
KT Rolster,2021,Spring,JUNGLE,GIDEON
KT Rolster,2021,Spring,MID,Dove
KT Rolster,2021,Spring,BOT,Noah
KT Rolster,2021,Spring,SUPPORT,Zzus
KT Rolster,2021,Spring,JUNGLE,Bonnie
KT Rolster,2021,Spring,JUNGLE,blank
KT Rolster,2021,Spring,MID,Ucal
KT Rolster,2021,Spring,BOT,HyBrid
KT Rolster,2021,Spring,BOT,Zzus
KT Rolster,2021,Spring,SUPPORT,Noah
Liiv SANDBOX,2021,Spring,TOP,Summit
Liiv SANDBOX,2021,Spring,JUNGLE,Croco
Liiv SANDBOX,2021,Spring,MID,FATE
Liiv SANDBOX,2021,Spring,BOT,Prince
Liiv SANDBOX,2021,Spring,SUPPORT,Effort
Liiv SANDBOX,2021,Spring,JUNGLE,OnFleek
Liiv SANDBOX,2021,Spring,BOT,Route
Liiv SANDBOX,2021,Spring,BOT,Leo
Nongshim RedForce,2021,Spring,TOP,Rich
Nongshim RedForce,2021,Spring,JUNGLE,Peanut
Nongshim RedForce,2021,Spring,MID,Bay
Nongshim RedForce,2021,Spring,BOT,deokdam
Nongshim RedForce,2021,Spring,SUPPORT,Kellin
T1,2021,Spring,TOP,Canna
T1,2021,Spring,JUNGLE,Cuzz
T1,2021,Spring,MID,Faker
T1,2021,Spring,BOT,Teddy
T1,2021,Spring,SUPPORT,Keria
