,Side,Region,Year,Game ID,Team,Victory,Game Duration,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
4,Blue Side,LCS,2024,57097,Dignitas,False,25.367,Isles,SUPPORT,10.0,2.0,4.0,6.0,2.0,42.0,0.0,,1.7,6951.0,274.0,0.176,87.0,51.0,14.0,6.0,6.0,3.43,2.01,0.24,0.55,0.463,13851.0,12364.0,947.0,540.0,546.0,0.216,0.32,1.0,0.0,0.0,0.0,0.0,0.0,430.0,-15.0,-844.0,-1.0,0.0,256.0,256.0,2577.0,745.0,5602.0,0.0,44.0,496.0,15104.0,51.0,8.0,23.0,150.0,0.0
5,Red Side,LCS,2024,57097,Team Liquid,True,25.367,Impact,TOP,15.0,8.0,1.0,5.0,13.0,181.0,0.0,,7.1,12613.0,497.0,0.247,22.0,11.0,3.0,4.0,4.0,0.87,0.43,0.16,0.12,0.114,22709.0,12319.0,9940.0,450.0,895.0,0.254,0.51,0.619,20.0,1.0,0.0,0.0,0.0,896.0,7.0,1078.0,1.0,0.0,12396.0,12396.0,5574.0,0.0,18556.0,0.0,14.0,94.0,23582.0,37.0,7.0,32.0,500.0,200.0
6,Red Side,LCS,2024,57097,Team Liquid,True,25.367,UmTi,JUNGLE,13.0,4.0,2.0,11.0,7.5,128.0,112.0,,5.0,9261.0,365.0,0.181,37.0,13.0,10.0,12.0,12.0,1.46,0.51,0.47,0.39,0.192,12818.0,8460.0,3822.0,536.0,505.0,0.143,0.59,0.714,0.0,0.0,0.0,0.0,0.0,525.0,14.0,33.0,0.0,0.0,1420.0,1420.0,17634.0,0.0,29137.0,0.0,17.0,523.0,29033.0,33.0,13.0,27.0,0.0,0.0
7,Red Side,LCS,2024,57097,Team Liquid,True,25.367,APA,MID,15.0,4.0,1.0,11.0,15.0,226.0,0.0,,8.9,11039.0,435.0,0.216,59.0,26.0,15.0,9.0,9.0,2.33,1.02,0.35,0.59,0.306,24252.0,1940.0,18036.0,4276.0,956.0,0.271,0.59,0.714,0.0,0.0,0.0,0.0,0.0,-208.0,20.0,293.0,0.0,0.0,2506.0,2506.0,4874.0,0.0,6996.0,0.0,14.0,62.0,14205.0,35.0,11.0,25.0,0.0,150.0
8,Red Side,LCS,2024,57097,Team Liquid,True,25.367,Yeon,ADC,14.0,4.0,0.0,15.0,100.0,181.0,0.0,,7.1,10642.0,420.0,0.208,23.0,11.0,6.0,4.0,4.0,0.91,0.43,0.16,0.24,0.119,22967.0,20420.0,2272.0,275.0,905.0,0.257,0.75,0.905,0.0,0.0,0.0,0.0,0.0,142.0,-23.0,23.0,0.0,0.0,4563.0,4563.0,11960.0,5505.0,4988.0,2283.0,26.0,262.0,9078.0,0.0,5.0,23.0,0.0,0.0
9,Red Side,LCS,2024,57097,Team Liquid,True,25.367,CoreJJ,SUPPORT,12.0,1.0,4.0,16.0,4.3,54.0,0.0,,2.1,7493.0,295.0,0.147,52.0,28.0,5.0,8.0,6.0,2.05,1.1,0.32,0.2,0.269,6698.0,1315.0,4746.0,637.0,264.0,0.075,0.67,0.81,0.0,0.0,0.0,0.0,0.0,-430.0,15.0,844.0,1.0,0.0,454.0,454.0,1957.0,885.0,20437.0,709.0,42.0,216.0,17499.0,85.0,9.0,21.0,0.0,0.0
0,Blue Side,LCS,2024,57098,Dignitas,False,27.6,Rich,TOP,13.0,1.0,4.0,2.0,0.8,198.0,0.0,,7.2,8470.0,307.0,0.206,19.0,7.0,3.0,3.0,3.0,0.69,0.25,0.11,0.11,0.085,18444.0,12238.0,5845.0,361.0,668.0,0.303,0.11,1.0,0.0,0.0,0.0,0.0,0.0,-154.0,6.0,-421.0,-1.0,0.0,945.0,945.0,2803.0,0.0,46162.0,0.0,34.0,622.0,27157.0,98.0,3.0,17.0,200.0,0.0
1,Blue Side,LCS,2024,57098,Dignitas,False,27.6,eXyu,JUNGLE,12.0,1.0,4.0,2.0,0.8,156.0,140.0,,5.7,8231.0,298.0,0.2,43.0,17.0,8.0,6.0,5.0,1.56,0.62,0.22,0.29,0.192,8638.0,6589.0,442.0,1607.0,313.0,0.142,0.11,1.0,0.0,0.0,0.0,0.0,0.0,-376.0,10.0,625.0,1.0,0.0,0.0,0.0,13662.0,0.0,15578.0,0.0,119.0,512.0,27778.0,77.0,7.0,23.0,300.0,0.0
2,Blue Side,LCS,2024,57098,Dignitas,False,27.6,Dove,MID,14.0,1.0,3.0,1.0,0.7,229.0,0.0,,8.3,9385.0,340.0,0.228,32.0,14.0,9.0,5.0,5.0,1.16,0.51,0.18,0.33,0.143,12959.0,442.0,7846.0,4671.0,470.0,0.213,0.07,0.667,0.0,0.0,0.0,0.0,0.0,-558.0,-20.0,-591.0,0.0,0.0,3106.0,3106.0,2415.0,0.0,6229.0,0.0,16.0,62.0,15946.0,124.0,8.0,23.0,0.0,0.0
3,Blue Side,LCS,2024,57098,Dignitas,False,27.6,Tomo,ADC,13.0,0.0,3.0,2.0,0.7,235.0,9.0,,8.5,8911.0,323.0,0.217,12.0,6.0,5.0,0.0,0.0,0.43,0.22,0.0,0.18,0.054,16792.0,16253.0,131.0,408.0,608.0,0.276,0.07,0.667,0.0,0.0,0.0,0.0,0.0,-628.0,-15.0,-193.0,0.0,0.0,0.0,0.0,2210.0,0.0,7407.0,0.0,20.0,36.0,13274.0,119.0,2.0,17.0,0.0,0.0
