Year,Split,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
2020,Summer,CLG,S10,NA,19,26.3%,0.66,1675,-207,34:49,9.6,14.6,4.2,8.5,31.6,26.3,1.63,26.7,0.58,28.9,0.53,-0.8,-2027,-,0.42,22.4,32.6,1790,3.3,1.21,1.30
2020,Summer,Cloud9,S10,NA,18,72.2%,1.60,1893,246,30:02,14.2,8.9,7.6,3.8,61.1,66.7,3.06,70.1,1.44,72.2,1.28,0.8,2262,-,0.83,66.7,33.4,1971,3.0,1.12,1.30
2020,Summer,Dignitas,S10,NA,19,31.6%,0.87,1671,-131,34:08,9.3,10.6,4.3,7.9,52.6,36.8,2.32,43.0,0.74,36.8,0.74,-0.5,-317,-,0.37,28.9,32.7,1590,3.1,1.27,1.33
2020,Summer,Evil Geniuses,S10,NA,18,44.4%,0.77,1721,-51,34:20,10.3,13.4,6.1,6.7,55.6,55.6,2.33,47.1,0.94,50.0,0.94,0.3,9,-,0.50,40.1,32.2,1920,3.3,1.39,1.41
2020,Summer,FlyQuest,S10,NA,18,66.7%,1.53,1806,126,35:03,14.7,9.6,7.2,4.6,66.7,38.9,3.17,59.7,0.94,47.2,0.89,-0.1,294,-,0.83,76.5,32.8,1856,3.3,1.21,1.77
2020,Summer,Golden Guardians,S10,NA,18,50.0%,1.00,1761,32,36:16,11.1,11.2,6.6,6.0,44.4,44.4,3.28,63.3,0.94,47.2,1.44,0.2,922,-,0.67,49.0,33.8,1992,3.4,1.26,1.53
2020,Summer,Immortals,S10,NA,18,22.2%,0.52,1603,-250,35:00,7.4,14.4,4.3,7.9,33.3,33.3,2.11,36.1,0.94,50.0,0.78,-0.3,-1377,-,0.39,25.0,31.1,1717,3.3,1.35,1.46
2020,Summer,Team Liquid,S10,NA,18,83.3%,1.57,1827,193,35:23,12.2,7.8,8.4,4.0,50.0,66.7,2.72,49.8,1.00,52.8,1.28,0.2,734,-,1.33,83.3,33.6,1784,3.4,1.24,1.51
2020,Summer,TSM,S10,NA,18,66.7%,1.22,1773,59,34:49,11.9,9.7,7.5,5.7,55.6,66.7,2.89,53.0,1.06,55.6,0.94,-0.1,-231,-,0.94,58.3,32.5,1741,3.2,1.33,1.33
2020,Spring,100 Thieves,S10,NA,20,55.0%,0.98,1693,-8,33:49,11.5,11.8,6.4,5.7,45.0,50.0,2.65,55.0,0.90,47.5,1.05,0.0,-273,-,0.45,43.3,31.0,1743,3.5,1.35,1.53
2020,Spring,CLG,S10,NA,18,16.7%,0.69,1625,-172,34:13,9.8,14.2,3.9,8.4,50.0,38.9,2.11,39.4,0.78,44.4,0.72,-0.5,-1025,-,0.44,23.1,31.0,1638,3.4,1.34,1.31
2020,Spring,Cloud9,S10,NA,18,94.4%,2.17,1900,347,31:07,16.0,7.3,9.3,2.2,61.1,94.4,3.61,81.3,1.67,86.1,1.67,0.9,2712,-,1.11,90.2,32.9,2050,3.5,1.33,1.40
2020,Spring,Dignitas,S10,NA,20,45.0%,0.89,1669,-53,35:00,9.7,11.0,5.3,7.5,45.0,40.0,2.50,48.5,0.75,37.5,0.90,-0.2,-512,-,0.50,44.7,31.7,1707,3.0,1.25,1.46
2020,Spring,Evil Geniuses,S10,NA,19,57.9%,1.13,1728,56,33:39,11.9,10.5,6.9,5.1,52.6,47.4,3.00,61.3,1.00,50.0,1.26,-0.2,-268,-,0.74,61.8,31.5,1864,3.6,1.49,1.42
2020,Spring,FlyQuest,S10,NA,19,52.6%,0.96,1666,-38,33:04,10.6,11.1,5.6,5.7,47.4,31.6,2.26,44.4,0.63,36.8,0.68,-0.3,-560,-,0.42,38.9,31.6,1617,3.2,1.24,1.43
2020,Spring,Golden Guardians,S10,NA,19,47.4%,0.71,1682,-48,33:23,8.8,12.4,5.6,6.4,42.1,68.4,1.79,36.9,1.21,60.5,0.74,0.2,86,-,0.63,52.9,31.7,1668,3.3,1.35,1.41
2020,Spring,Immortals,S10,NA,19,42.1%,0.81,1612,-106,37:05,8.6,10.7,5.9,6.8,36.8,52.6,2.37,40.9,0.95,50.0,0.89,0.1,-505,-,0.68,38.9,30.6,1554,3.5,1.39,1.57
2020,Spring,Team Liquid,S10,NA,18,38.9%,1.06,1694,23,35:14,9.2,8.6,5.8,6.6,38.9,33.3,2.00,45.1,0.72,36.1,0.72,-0.3,-38,-,0.89,55.9,32.1,1652,3.0,1.14,1.29
2020,Spring,TSM,S10,NA,18,50.0%,1.18,1674,11,36:36,11.6,9.8,6.4,6.5,83.3,44.4,2.50,47.7,1.00,52.8,0.89,0.3,539,-,0.61,51.0,30.5,1688,3.4,1.38,1.44
