Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Kellin,2022,Spring,27W - 15L,64.3%,4.6,0.9,239,13.3%,67.5%
Keria,2022,Spring,36W - 7L,83.7%,4.8,1,255,13.2%,72.3%
Kiin,2022,Spring,20W - 22L,47.6%,3.6,8.5,389,22.4%,58.8%
Lava,2022,Spring,21W - 21L,50%,4.6,8.9,411,23.3%,71.9%
Lehends,2022,Spring,26W - 9L,74.3%,3.5,0.9,237,12.5%,62%
Life,2022,Spring,19W - 24L,44.2%,2.7,1,232,13%,61.3%
Listo,2022,Spring,0W - 2L,0%,0.9,5.1,290,19.3%,75%
Loopy,2022,Spring,0W - 2L,0%,0.4,1.5,216,14.4%,50%
Lospa,2022,Spring,2W - 3L,40%,2.2,0.7,226,12.7%,62.1%
Morgan,2022,Spring,18W - 18L,50%,2.7,8.3,377,21.4%,51.7%
OnFleek,2022,Spring,11W - 27L,28.9%,2.0,5.7,323,19.1%,69.3%
Oner,2022,Spring,36W - 7L,83.7%,5.8,5.7,371,19.1%,72%
Ophelia,2022,Spring,4W - 4L,50%,3.1,8.4,384,21.9%,54.6%
Peach,2022,Spring,1W - 0L,100%,4.5,5.5,336,18.2%,69.2%
Peanut,2022,Spring,26W - 9L,74.3%,5.9,6,353,18.6%,70.1%
Peter,2022,Spring,11W - 13L,45.8%,3.0,0.8,228,13%,66.3%
Prove,2022,Spring,0W - 2L,0%,1.3,1.5,226,13.5%,67.5%
Pyosik,2022,Spring,21W - 19L,52.5%,2.8,5.5,318,18%,67.6%
Quid,2022,Spring,2W - 3L,40%,2.4,8.7,381,21.6%,59%
Raptor,2022,Spring,2W - 0L,100%,9.7,5.9,385,19.8%,80.4%
Rascal,2022,Spring,19W - 24L,44.2%,2.3,8.8,401,22.5%,56.3%
Ruler,2022,Spring,26W - 9L,74.3%,6.6,9.8,454,24%,66.8%
SeTab,2022,Spring,1W - 0L,100%,4.5,8.4,411,22.3%,69.2%
ShowMaker,2022,Spring,27W - 15L,64.3%,4.6,8.6,397,22.1%,63.1%
Soboro,2022,Spring,0W - 2L,0%,0.1,6.8,296,19.7%,12.5%
Sw0rd,2022,Spring,3W - 3L,50%,2.9,7.3,356,20.2%,53.8%
Sylvie,2022,Spring,0W - 2L,0%,1.0,5.2,319,18.6%,65%
Taeyoon,2022,Spring,0W - 1L,0%,0.3,8.2,349,22.9%,25%
Teddy,2022,Spring,20W - 22L,47.6%,5.9,9.7,432,24.8%,64.6%
Ten10,2022,Spring,0W - 4L,0%,1.4,7.5,319,20.2%,73.3%
UmTi,2022,Spring,19W - 21L,47.5%,3.5,5.4,317,18%,69.7%
Vicla,2022,Spring,7W - 7L,50%,4.2,8.2,375,20.3%,65.9%
Vital,2022,Spring,1W - 6L,14.3%,1.9,9.8,404,23.9%,50%
Vsta,2022,Spring,11W - 27L,28.9%,2.9,0.9,220,13%,70.4%
Willer,2022,Spring,1W - 2L,33.3%,2.7,5.2,312,17.7%,75.7%
YoungJae,2022,Spring,2W - 3L,40%,2.1,5.3,306,17.1%,56.2%
Zeka,2022,Spring,21W - 19L,52.5%,4.2,8.9,399,22.6%,62.1%
Zest,2022,Spring,2W - 0L,100%,2.8,9.4,422,20.4%,41.5%
Zeus,2022,Spring,36W - 7L,83.7%,3.6,8.2,413,21.4%,53.1%
deokdam,2022,Spring,27W - 15L,64.3%,5.4,9.3,442,24.7%,66.9%
kingen,2022,Spring,21W - 19L,52.5%,2.5,8.1,377,21.4%,52.4%
5Kid,2021,Summer,7W - 8L,46.7%,5.1,10.3,422,23.8%,51.2%
BAO,2021,Summer,3W - 16L,15.8%,2.0,9.8,393,23.7%,57.2%
Bdd,2021,Summer,27W - 19L,58.7%,4.6,8.3,386,21.5%,64%
BeryL,2021,Summer,29W - 14L,67.4%,2.9,1.6,248,13.6%,60%
Burdol,2021,Summer,3W - 3L,50%,2.5,8.3,421,23.5%,68.9%
Canna,2021,Summer,25W - 19L,56.8%,3.5,8.5,409,22.6%,65.9%
