Team,Year,Split,Role,Player
TSM,2022,Spring,TOP,Huni
TSM,2022,Spring,JUNGLE,Spica
TSM,2022,Spring,MID,Takeover
TSM,2022,Spring,BOT,Tactical
TSM,2022,Spring,SUPPORT,Shenyi
TSM,2022,Spring,MID,Keaiduo
TSM,2022,Spring,SUPPORT,Yursan
100 Thieves,2021,Summer,TOP,Tenacity
100 Thieves,2021,Summer,JUNGLE,Kenvi
100 Thieves,2021,Summer,MID,Ryoma
100 Thieves,2021,Summer,BOT,Luger
100 Thieves,2021,Summer,SUPPORT,Poome
100 Thieves,2021,Summer,TOP,ssumday
100 Thieves,2021,Summer,JUNGLE,Closer
100 Thieves,2021,Summer,MID,Abbedagge
100 Thieves,2021,Summer,BOT,FBI
100 Thieves,2021,Summer,BOT,Huhi
100 Thieves,2021,Summer,SUPPORT,Huhi
100 Thieves,2021,Summer,SUPPORT,FBI
CLG,2021,Summer,TOP,Finn
CLG,2021,Summer,JUNGLE,Broxah
CLG,2021,Summer,MID,Damonte
CLG,2021,Summer,BOT,WildTurtle
CLG,2021,Summer,SUPPORT,Smoothie
CLG,2021,Summer,MID,Pobelter
Cloud9,2021,Summer,TOP,Fudge
Cloud9,2021,Summer,JUNGLE,Blaber
Cloud9,2021,Summer,MID,Perkz
Cloud9,2021,Summer,BOT,Zven
Cloud9,2021,Summer,SUPPORT,Vulcan
Cloud9,2021,Summer,BOT,k1ng
Cloud9,2021,Summer,BOT,Vulcan
Cloud9,2021,Summer,SUPPORT,k1ng
Dignitas,2021,Summer,TOP,Yusui
Dignitas,2021,Summer,JUNGLE,Neo
Dignitas,2021,Summer,MID,Akaadian
Dignitas,2021,Summer,BOT,Aphromoo
Dignitas,2021,Summer,SUPPORT,FakeGod
Dignitas,2021,Summer,TOP,FakeGod
Dignitas,2021,Summer,JUNGLE,Dardoch
Dignitas,2021,Summer,JUNGLE,Akaadian
Dignitas,2021,Summer,MID,Soligo
Dignitas,2021,Summer,MID,Yusui
Dignitas,2021,Summer,BOT,Neo
Dignitas,2021,Summer,SUPPORT,Aphromoo
Evil Geniuses,2021,Summer,TOP,Impact
Evil Geniuses,2021,Summer,JUNGLE,Contractz
Evil Geniuses,2021,Summer,MID,Jiizuke
Evil Geniuses,2021,Summer,BOT,Danny
Evil Geniuses,2021,Summer,SUPPORT,IgNar
Evil Geniuses,2021,Summer,JUNGLE,Svenskeren
Evil Geniuses,2021,Summer,BOT,IgNar
Evil Geniuses,2021,Summer,SUPPORT,Danny
FlyQuest,2021,Summer,TOP,Kumo
FlyQuest,2021,Summer,JUNGLE,Josedeodo
FlyQuest,2021,Summer,MID,Palafox
FlyQuest,2021,Summer,BOT,Tomo
FlyQuest,2021,Summer,SUPPORT,Diamond
FlyQuest,2021,Summer,TOP,Licorice
FlyQuest,2021,Summer,JUNGLE,Nxi
FlyQuest,2021,Summer,MID,Triple
FlyQuest,2021,Summer,BOT,Johnsun
FlyQuest,2021,Summer,BOT,Dreams
FlyQuest,2021,Summer,SUPPORT,Dreams
FlyQuest,2021,Summer,SUPPORT,Johnsun
Golden Guardians,2021,Summer,TOP,Licorice
Golden Guardians,2021,Summer,JUNGLE,Iconic
Golden Guardians,2021,Summer,MID,Ablazeolive
Golden Guardians,2021,Summer,BOT,Stixxay
Golden Guardians,2021,Summer,SUPPORT,Chime
Golden Guardians,2021,Summer,TOP,solo
Immortals,2021,Summer,TOP,Revenge
Immortals,2021,Summer,JUNGLE,Xerxe
Immortals,2021,Summer,MID,Insanity
Immortals,2021,Summer,BOT,Raes
Immortals,2021,Summer,SUPPORT,Destiny
Immortals,2021,Summer,MID,PrettyGRE
Team Liquid,2021,Summer,TOP,Alphari
Team Liquid,2021,Summer,JUNGLE,Santorin
Team Liquid,2021,Summer,MID,Jensen
Team Liquid,2021,Summer,BOT,Tactical
Team Liquid,2021,Summer,SUPPORT,CoreJJ
Team Liquid,2021,Summer,TOP,Jenkins
Team Liquid,2021,Summer,JUNGLE,Armao
TSM,2021,Summer,TOP,Spica
TSM,2021,Summer,JUNGLE,Huni
TSM,2021,Summer,MID,Lost
TSM,2021,Summer,BOT,SwordArt
TSM,2021,Summer,SUPPORT,PowerOfEvil
TSM,2021,Summer,TOP,Huni
TSM,2021,Summer,JUNGLE,Spica
TSM,2021,Summer,MID,PowerOfEvil
TSM,2021,Summer,BOT,Lost
TSM,2021,Summer,SUPPORT,SwordArt
TSM,2021,Summer,SUPPORT,Lost
100 Thieves,2021,Spring,TOP,ssumday
100 Thieves,2021,Spring,JUNGLE,Closer
100 Thieves,2021,Spring,MID,Ryoma
100 Thieves,2021,Spring,BOT,FBI
100 Thieves,2021,Spring,SUPPORT,Huhi
100 Thieves,2021,Spring,MID,Damonte
100 Thieves,2021,Spring,BOT,Huhi
100 Thieves,2021,Spring,SUPPORT,FBI
CLG,2021,Spring,TOP,Finn
CLG,2021,Spring,JUNGLE,Broxah
CLG,2021,Spring,MID,Pobelter
CLG,2021,Spring,BOT,WildTurtle
CLG,2021,Spring,SUPPORT,Smoothie
CLG,2021,Spring,JUNGLE,Griffin
CLG,2021,Spring,MID,rjs
Cloud9,2021,Spring,TOP,Fudge
Cloud9,2021,Spring,JUNGLE,Blaber
Cloud9,2021,Spring,MID,Perkz
Cloud9,2021,Spring,BOT,Zven
Cloud9,2021,Spring,SUPPORT,Vulcan
Dignitas,2021,Spring,TOP,FakeGod
Dignitas,2021,Spring,JUNGLE,Dardoch
Dignitas,2021,Spring,MID,Soligo
Dignitas,2021,Spring,BOT,Neo
Dignitas,2021,Spring,SUPPORT,Aphromoo
Dignitas,2021,Spring,BOT,Aphromoo
Dignitas,2021,Spring,SUPPORT,Neo
Evil Geniuses,2021,Spring,TOP,Impact
Evil Geniuses,2021,Spring,JUNGLE,Svenskeren
Evil Geniuses,2021,Spring,MID,Jiizuke
Evil Geniuses,2021,Spring,BOT,Deftly
Evil Geniuses,2021,Spring,SUPPORT,IgNar
Evil Geniuses,2021,Spring,BOT,IgNar
Evil Geniuses,2021,Spring,SUPPORT,Deftly
FlyQuest,2021,Spring,TOP,Licorice
FlyQuest,2021,Spring,JUNGLE,Josedeodo
FlyQuest,2021,Spring,MID,Palafox
FlyQuest,2021,Spring,BOT,Johnsun
FlyQuest,2021,Spring,SUPPORT,Dreams
FlyQuest,2021,Spring,BOT,Diamond
FlyQuest,2021,Spring,SUPPORT,Diamond
FlyQuest,2021,Spring,SUPPORT,Johnsun
Golden Guardians,2021,Spring,TOP,Niles
Golden Guardians,2021,Spring,JUNGLE,Iconic
Golden Guardians,2021,Spring,MID,Ablazeolive
Golden Guardians,2021,Spring,BOT,Stixxay
Golden Guardians,2021,Spring,SUPPORT,Newbie
Golden Guardians,2021,Spring,BOT,Newbie
Golden Guardians,2021,Spring,SUPPORT,Stixxay
Immortals,2021,Spring,TOP,Revenge
Immortals,2021,Spring,JUNGLE,Xerxe
Immortals,2021,Spring,MID,Insanity
Immortals,2021,Spring,BOT,Raes
Immortals,2021,Spring,SUPPORT,Destiny
Immortals,2021,Spring,BOT,Destiny
Immortals,2021,Spring,SUPPORT,Raes
Team Liquid,2021,Spring,TOP,Alphari
Team Liquid,2021,Spring,JUNGLE,Santorin
Team Liquid,2021,Spring,MID,Jensen
Team Liquid,2021,Spring,BOT,Tactical
Team Liquid,2021,Spring,SUPPORT,CoreJJ
Team Liquid,2021,Spring,BOT,CoreJJ
Team Liquid,2021,Spring,SUPPORT,Tactical
TSM,2021,Spring,TOP,Huni
TSM,2021,Spring,JUNGLE,Spica
TSM,2021,Spring,MID,PowerOfEvil
TSM,2021,Spring,BOT,Lost
TSM,2021,Spring,SUPPORT,SwordArt
100 Thieves,2020,Summer,TOP,ssumday
100 Thieves,2020,Summer,JUNGLE,Contractz
100 Thieves,2020,Summer,MID,Ryoma
100 Thieves,2020,Summer,BOT,Cody Sun
100 Thieves,2020,Summer,SUPPORT,Poome
100 Thieves,2020,Summer,JUNGLE,Meteos
100 Thieves,2020,Summer,SUPPORT,Stunt
CLG,2020,Summer,TOP,Ruin
CLG,2020,Summer,JUNGLE,Fragas
CLG,2020,Summer,MID,Pobelter
CLG,2020,Summer,BOT,Stixxay
CLG,2020,Summer,SUPPORT,Smoothie
CLG,2020,Summer,TOP,rjs
CLG,2020,Summer,JUNGLE,Griffin
CLG,2020,Summer,MID,Tuesday
Cloud9,2020,Summer,TOP,Licorice
